study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_source	experiment_title	experiment_alias	run_alias	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias	sample_title
PRJEB14054	SAMEA2078608	ERX1488999	ERR1418178	10090	Mus musculus	Illumina HiSeq 2000	7905953	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_2#5	SC_RUN_10580_2#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418178/ERR1418178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418178/ERR1418178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_2#5.cram	CRAM		DT_25-sc-2013-06-10T16:21:56Z-1645700	DT_25-sc-2013-06-10T16:21:56Z-1645700
PRJEB14054	SAMEA2078609	ERX1489000	ERR1418179	10090	Mus musculus	Illumina HiSeq 2000	7905954	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_2#6	SC_RUN_10580_2#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418179/ERR1418179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418179/ERR1418179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_2#6.cram	CRAM		DT_26-sc-2013-06-10T16:21:57Z-1645701	DT_26-sc-2013-06-10T16:21:57Z-1645701
PRJEB14054	SAMEA2078611	ERX1489001	ERR1418180	10090	Mus musculus	Illumina HiSeq 2000	7905957	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_3#2	SC_RUN_10580_3#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418180/ERR1418180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418180/ERR1418180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_3#2.cram	CRAM		DT_37-sc-2013-06-10T16:22:01Z-1645704	DT_37-sc-2013-06-10T16:22:01Z-1645704
PRJEB14054	SAMEA2080647	ERX1489002	ERR1418181	10090	Mus musculus	Illumina HiSeq 2000	7905958	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_3#4	SC_RUN_10580_3#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418181/ERR1418181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418181/ERR1418181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_3#4.cram	CRAM		DT_38-sc-2013-06-10T16:22:02Z-1645705	DT_38-sc-2013-06-10T16:22:02Z-1645705
PRJEB14054	SAMEA2078611	ERX1489003	ERR1418182	10090	Mus musculus	Illumina HiSeq 2000	7905957	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_4#2	SC_RUN_10580_4#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418182/ERR1418182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418182/ERR1418182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_4#2.cram	CRAM		DT_37-sc-2013-06-10T16:22:01Z-1645704	DT_37-sc-2013-06-10T16:22:01Z-1645704
PRJEB14054	SAMEA2080647	ERX1489004	ERR1418183	10090	Mus musculus	Illumina HiSeq 2000	7905958	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_4#4	SC_RUN_10580_4#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418183/ERR1418183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418183/ERR1418183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_4#4.cram	CRAM		DT_38-sc-2013-06-10T16:22:02Z-1645705	DT_38-sc-2013-06-10T16:22:02Z-1645705
PRJEB14054	SAMEA2078611	ERX1489005	ERR1418184	10090	Mus musculus	Illumina HiSeq 2000	7905957	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_5#2	SC_RUN_10580_5#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418184/ERR1418184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418184/ERR1418184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_5#2.cram	CRAM		DT_37-sc-2013-06-10T16:22:01Z-1645704	DT_37-sc-2013-06-10T16:22:01Z-1645704
PRJEB14054	SAMEA2080647	ERX1489006	ERR1418185	10090	Mus musculus	Illumina HiSeq 2000	7905958	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_5#4	SC_RUN_10580_5#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418185/ERR1418185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418185/ERR1418185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_5#4.cram	CRAM		DT_38-sc-2013-06-10T16:22:02Z-1645705	DT_38-sc-2013-06-10T16:22:02Z-1645705
PRJEB14054	SAMEA2080648	ERX1489007	ERR1418186	10090	Mus musculus	Illumina HiSeq 2000	7905961	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_6#5	SC_RUN_10580_6#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418186/ERR1418186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418186/ERR1418186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_6#5.cram	CRAM		DT_41-sc-2013-06-10T16:22:06Z-1645708	DT_41-sc-2013-06-10T16:22:06Z-1645708
PRJEB14054	SAMEA2078840	ERX1489008	ERR1418187	10090	Mus musculus	Illumina HiSeq 2000	7905962	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_6#6	SC_RUN_10580_6#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418187/ERR1418187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418187/ERR1418187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_6#6.cram	CRAM		DT_42-sc-2013-06-10T16:22:07Z-1645709	DT_42-sc-2013-06-10T16:22:07Z-1645709
PRJEB14054	SAMEA2080648	ERX1489009	ERR1418188	10090	Mus musculus	Illumina HiSeq 2000	7905961	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_7#5	SC_RUN_10580_7#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418188/ERR1418188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418188/ERR1418188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_7#5.cram	CRAM		DT_41-sc-2013-06-10T16:22:06Z-1645708	DT_41-sc-2013-06-10T16:22:06Z-1645708
PRJEB14054	SAMEA2078840	ERX1489010	ERR1418189	10090	Mus musculus	Illumina HiSeq 2000	7905962	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_7#6	SC_RUN_10580_7#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418189/ERR1418189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418189/ERR1418189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_7#6.cram	CRAM		DT_42-sc-2013-06-10T16:22:07Z-1645709	DT_42-sc-2013-06-10T16:22:07Z-1645709
PRJEB14054	SAMEA2080648	ERX1489011	ERR1418190	10090	Mus musculus	Illumina HiSeq 2000	7905961	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_8#5	SC_RUN_10580_8#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418190/ERR1418190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418190/ERR1418190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_8#5.cram	CRAM		DT_41-sc-2013-06-10T16:22:06Z-1645708	DT_41-sc-2013-06-10T16:22:06Z-1645708
PRJEB14054	SAMEA2078840	ERX1489012	ERR1418191	10090	Mus musculus	Illumina HiSeq 2000	7905962	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10580_8#6	SC_RUN_10580_8#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418191/ERR1418191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418191/ERR1418191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10580_8#6.cram	CRAM		DT_42-sc-2013-06-10T16:22:07Z-1645709	DT_42-sc-2013-06-10T16:22:07Z-1645709
PRJEB14054	SAMEA3855949	ERX1489025	ERR1418204	10090	Mus musculus	Illumina HiSeq 2500	11512478	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_1#17	SC_RUN_14036_1#17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418204/ERR1418204.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_1#17.cram	CRAM		88243220-22c6-11e4-ba21-68b59976a382	88243220-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3855950	ERX1489026	ERR1418205	10090	Mus musculus	Illumina HiSeq 2500	11512479	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_1#18	SC_RUN_14036_1#18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418205/ERR1418205.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_1#18.cram	CRAM		885c3210-22c6-11e4-ba21-68b59976a382	885c3210-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3928329	ERX1489027	ERR1418206	10090	Mus musculus	Illumina HiSeq 2500	11512480	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_1#19	SC_RUN_14036_1#19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418206/ERR1418206.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_1#19.cram	CRAM		887b79e0-22c6-11e4-ba21-68b59976a382	887b79e0-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3928330	ERX1489028	ERR1418207	10090	Mus musculus	Illumina HiSeq 2500	11512481	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_1#20	SC_RUN_14036_1#20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418207/ERR1418207.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_1#20.cram	CRAM		889b0fd0-22c6-11e4-ba21-68b59976a382	889b0fd0-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3855949	ERX1489029	ERR1418208	10090	Mus musculus	Illumina HiSeq 2500	11512478	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_2#17	SC_RUN_14036_2#17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418208/ERR1418208.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_2#17.cram	CRAM		88243220-22c6-11e4-ba21-68b59976a382	88243220-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3855950	ERX1489030	ERR1418209	10090	Mus musculus	Illumina HiSeq 2500	11512479	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_2#18	SC_RUN_14036_2#18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418209/ERR1418209.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_2#18.cram	CRAM		885c3210-22c6-11e4-ba21-68b59976a382	885c3210-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3928329	ERX1489031	ERR1418210	10090	Mus musculus	Illumina HiSeq 2500	11512480	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_2#19	SC_RUN_14036_2#19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418210/ERR1418210.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_2#19.cram	CRAM		887b79e0-22c6-11e4-ba21-68b59976a382	887b79e0-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3928330	ERX1489032	ERR1418211	10090	Mus musculus	Illumina HiSeq 2500	11512481	SINGLE	GENOMIC	Illumina HiSeq 2500 sequencing	SC_EXP_14036_2#20	SC_RUN_14036_2#20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418211/ERR1418211.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/14036_2#20.cram	CRAM		889b0fd0-22c6-11e4-ba21-68b59976a382	889b0fd0-22c6-11e4-ba21-68b59976a382
PRJEB14054	SAMEA3855928	ERX1489033	ERR1418212	10090	Mus musculus	Illumina HiSeq 2500	12805732	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_1#1	SC_RUN_15449_1#1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418212/ERR1418212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418212/ERR1418212_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_1#1.cram	CRAM		df2619a0-7643-11e4-8102-68b59976a382	df2619a0-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855931	ERX1489034	ERR1418213	10090	Mus musculus	Illumina HiSeq 2500	12805735	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_1#4	SC_RUN_15449_1#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418213/ERR1418213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418213/ERR1418213_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_1#4.cram	CRAM		df540770-7643-11e4-8102-68b59976a382	df540770-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855932	ERX1489035	ERR1418214	10090	Mus musculus	Illumina HiSeq 2500	12805736	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_1#5	SC_RUN_15449_1#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418214/ERR1418214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418214/ERR1418214_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_1#5.cram	CRAM		df623840-7643-11e4-8102-68b59976a382	df623840-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855935	ERX1489036	ERR1418215	10090	Mus musculus	Illumina HiSeq 2500	12805739	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_1#8	SC_RUN_15449_1#8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418215/ERR1418215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418215/ERR1418215_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_1#8.cram	CRAM		df8eed90-7643-11e4-8102-68b59976a382	df8eed90-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855936	ERX1489037	ERR1418216	10090	Mus musculus	Illumina HiSeq 2500	12805740	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_1#9	SC_RUN_15449_1#9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418216/ERR1418216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418216/ERR1418216_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_1#9.cram	CRAM		dfa0eef0-7643-11e4-8102-68b59976a382	dfa0eef0-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855937	ERX1489038	ERR1418217	10090	Mus musculus	Illumina HiSeq 2500	12805741	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_1#10	SC_RUN_15449_1#10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418217/ERR1418217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418217/ERR1418217_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_1#10.cram	CRAM		dfb31760-7643-11e4-8102-68b59976a382	dfb31760-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855928	ERX1489039	ERR1418218	10090	Mus musculus	Illumina HiSeq 2500	12805732	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_2#1	SC_RUN_15449_2#1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418218/ERR1418218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418218/ERR1418218_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_2#1.cram	CRAM		df2619a0-7643-11e4-8102-68b59976a382	df2619a0-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855931	ERX1489040	ERR1418219	10090	Mus musculus	Illumina HiSeq 2500	12805735	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_2#4	SC_RUN_15449_2#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418219/ERR1418219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418219/ERR1418219_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_2#4.cram	CRAM		df540770-7643-11e4-8102-68b59976a382	df540770-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855932	ERX1489041	ERR1418220	10090	Mus musculus	Illumina HiSeq 2500	12805736	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_2#5	SC_RUN_15449_2#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418220/ERR1418220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418220/ERR1418220_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_2#5.cram	CRAM		df623840-7643-11e4-8102-68b59976a382	df623840-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855935	ERX1489042	ERR1418221	10090	Mus musculus	Illumina HiSeq 2500	12805739	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_2#8	SC_RUN_15449_2#8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418221/ERR1418221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418221/ERR1418221_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_2#8.cram	CRAM		df8eed90-7643-11e4-8102-68b59976a382	df8eed90-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855936	ERX1489043	ERR1418222	10090	Mus musculus	Illumina HiSeq 2500	12805740	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_2#9	SC_RUN_15449_2#9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418222/ERR1418222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418222/ERR1418222_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_2#9.cram	CRAM		dfa0eef0-7643-11e4-8102-68b59976a382	dfa0eef0-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855937	ERX1489044	ERR1418223	10090	Mus musculus	Illumina HiSeq 2500	12805741	PAIRED	GENOMIC	Illumina HiSeq 2500 paired end sequencing	SC_EXP_15449_2#10	SC_RUN_15449_2#10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418223/ERR1418223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418223/ERR1418223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/15449_2#10.cram	CRAM		dfb31760-7643-11e4-8102-68b59976a382	dfb31760-7643-11e4-8102-68b59976a382
PRJEB14054	SAMEA3855938	ERX1489045	ERR1418224	10090	Mus musculus	Illumina HiSeq 2000	13954880	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_3#1	SC_RUN_16557_3#1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418224/ERR1418224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418224/ERR1418224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_3#1.cram	CRAM		41682de0-ecc0-11e4-bfee-3c4a9275d6c6	41682de0-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855941	ERX1489046	ERR1418225	10090	Mus musculus	Illumina HiSeq 2000	13954916	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_3#4	SC_RUN_16557_3#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418225/ERR1418225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418225/ERR1418225_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_3#4.cram	CRAM		418fda20-ecc0-11e4-bfee-3c4a9275d6c6	418fda20-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855942	ERX1489047	ERR1418226	10090	Mus musculus	Illumina HiSeq 2000	13954928	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_3#5	SC_RUN_16557_3#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418226/ERR1418226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418226/ERR1418226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_3#5.cram	CRAM		419c8450-ecc0-11e4-bfee-3c4a9275d6c6	419c8450-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855943	ERX1489048	ERR1418227	10090	Mus musculus	Illumina HiSeq 2000	13954940	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_3#6	SC_RUN_16557_3#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418227/ERR1418227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418227/ERR1418227_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_3#6.cram	CRAM		41a55df0-ecc0-11e4-bfee-3c4a9275d6c6	41a55df0-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855946	ERX1489049	ERR1418228	10090	Mus musculus	Illumina HiSeq 2000	13954881	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_3#9	SC_RUN_16557_3#9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418228/ERR1418228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418228/ERR1418228_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_3#9.cram	CRAM		41c011e0-ecc0-11e4-bfee-3c4a9275d6c6	41c011e0-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855947	ERX1489050	ERR1418229	10090	Mus musculus	Illumina HiSeq 2000	13954893	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_3#10	SC_RUN_16557_3#10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418229/ERR1418229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418229/ERR1418229_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_3#10.cram	CRAM		41c6a190-ecc0-11e4-bfee-3c4a9275d6c6	41c6a190-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855938	ERX1489051	ERR1418230	10090	Mus musculus	Illumina HiSeq 2000	13954880	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_4#1	SC_RUN_16557_4#1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418230/ERR1418230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418230/ERR1418230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_4#1.cram	CRAM		41682de0-ecc0-11e4-bfee-3c4a9275d6c6	41682de0-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855941	ERX1489052	ERR1418231	10090	Mus musculus	Illumina HiSeq 2000	13954916	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_4#4	SC_RUN_16557_4#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418231/ERR1418231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418231/ERR1418231_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_4#4.cram	CRAM		418fda20-ecc0-11e4-bfee-3c4a9275d6c6	418fda20-ecc0-11e4-bfee-3c4a9275d6c6
PRJEB14054	SAMEA3855942	ERX1489053	ERR1418232	10090	Mus musculus	Illumina HiSeq 2000	13954928	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_16557_4#5	SC_RUN_16557_4#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418232/ERR1418232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418232/ERR1418232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/16557_4#5.cram	CRAM		419c8450-ecc0-11e4-bfee-3c4a9275d6c6	419c8450-ecc0-11e4-bfee-3c4a9275d6c6
